Timestamp,Available
2019-06-20 12:59:00,420
2019-06-20 13:14:00,425
2019-06-20 13:29:00,432
2019-06-20 13:44:00,427
2019-06-20 13:58:00,428
2019-06-20 14:14:00,429
2019-06-20 14:29:00,435
2019-06-20 14:43:00,440
2019-06-20 14:59:00,449
2019-06-20 15:14:00,459
2019-06-20 15:29:00,466
2019-06-20 15:43:00,466
2019-06-20 15:59:00,471
2019-06-20 16:14:00,477
2019-06-20 16:28:00,488
2019-06-20 16:45:00,495
2019-06-20 16:59:00,508
2019-06-20 17:12:00,524
2019-06-20 17:28:00,548
2019-06-20 17:42:00,557
2019-06-20 17:56:00,562
2019-06-20 18:14:00,573
2019-06-20 18:28:00,571
2019-06-20 18:43:00,569
2019-06-20 18:59:00,557
2019-06-20 19:13:00,543
2019-06-20 19:28:00,530
2019-06-20 19:44:00,528
2019-06-20 19:59:00,529
2019-06-20 20:14:00,526
2019-06-20 20:26:00,526
2019-06-20 20:40:00,523
2019-06-20 20:58:00,527
2019-06-20 21:13:00,525
2019-06-20 21:29:00,526
2019-06-20 21:44:00,551
2019-06-20 21:59:00,556
2019-06-20 22:14:00,564
2019-06-20 22:26:00,573
2019-06-20 22:44:00,592
2019-06-20 22:59:00,607
2019-06-20 23:12:00,611
2019-06-20 23:28:00,607
2019-06-20 23:41:00,605
2019-06-20 23:56:00,604
2019-06-21 00:12:00,601
2019-06-21 00:29:00,600
2019-06-21 00:44:00,598
2019-06-21 00:53:00,601
2019-06-21 01:09:00,601
2019-06-21 01:29:00,602
2019-06-21 01:38:00,604
2019-06-21 01:59:00,602
2019-06-21 02:13:00,602
2019-06-21 02:13:00,602
2019-06-21 02:39:00,604
2019-06-21 02:51:00,609
2019-06-21 03:13:00,609
2019-06-21 03:25:00,607
2019-06-21 03:41:00,612
2019-06-21 03:49:00,613
2019-06-21 04:12:00,619
2019-06-21 04:26:00,622
2019-06-21 04:34:00,623
2019-06-21 04:54:00,627
2019-06-21 05:08:00,628
2019-06-21 05:08:00,628
2019-06-21 05:39:00,631
2019-06-21 05:55:00,633
2019-06-21 06:13:00,637
2019-06-21 06:27:00,643
2019-06-21 06:27:00,643
2019-06-21 06:57:00,643
2019-06-21 07:14:00,637
2019-06-21 07:29:00,629
2019-06-21 07:44:00,603
2019-06-21 07:59:00,572
2019-06-21 08:11:00,552
2019-06-21 08:29:00,535
2019-06-21 08:44:00,517
2019-06-21 08:59:00,513
2019-06-21 09:11:00,507
2019-06-21 09:28:00,491
2019-06-21 09:44:00,478
2019-06-21 09:58:00,477
2019-06-21 10:14:00,473
2019-06-21 10:29:00,475
2019-06-21 10:45:00,474
2019-06-21 11:00:00,479
2019-06-21 11:14:00,477
2019-06-21 11:29:00,467
2019-06-21 11:44:00,463
2019-06-21 11:59:00,456
2019-06-21 12:14:00,455
2019-06-21 12:29:00,456
2019-06-21 12:41:00,452
2019-06-21 12:59:00,439
2019-06-21 13:13:00,419
2019-06-21 13:29:00,418
2019-06-21 13:44:00,417
2019-06-21 13:59:00,416
2019-06-21 14:14:00,419
2019-06-21 14:29:00,427
2019-06-21 14:44:00,428
2019-06-21 14:58:00,428
2019-06-21 15:13:00,441
2019-06-21 15:28:00,455
2019-06-21 15:44:00,465
2019-06-21 15:58:00,474
